Date,Close/Last,Open,High,Low
02/25/2019,39.6725,40.64,41.32,39.585
02/26/2019,39.275,39.625,40.19,38.9375
02/27/2019,38.8525,39.13,39.3975,38.2775
02/28/2019,38.565,38.75,38.975,38.34
03/01/2019,39.1125,39.0675,39.5372,38.48
03/04/2019,39.195,39.5,39.73,38.625
03/05/2019,39.13,39.0375,39.5143,38.49
03/06/2019,38.0125,39.04,39.125,37.985
03/07/2019,37.315,37.775,37.8725,36.85
03/08/2019,37.66,36.415,37.7675,36.2
03/11/2019,40.285,37.8975,40.515,37.4225
03/12/2019,40.63,40.565,41.0975,39.7975
03/13/2019,42.155,41.0075,42.45,40.9325
03/14/2019,41.39,42.2475,42.3675,41.3125
03/15/2019,42.4525,41.825,42.8825,41.79
03/18/2019,42.2375,42.77,43.3125,41.9644
03/19/2019,43.9275,43.19,44.375,43.02
03/20/2019,43.6,44.22,44.7575,43.25
03/21/2019,45.985,43.8325,46.25,43.7825
03/22/2019,44.375,45.71,46.1999,44.235
03/25/2019,43.445,43.965,44.6125,42.7775
03/26/2019,44.2175,44.8723,45.4375,43.6492
03/27/2019,44.125,44.475,44.9425,43.425
03/28/2019,44.3125,44.3875,44.975,43.7775
03/29/2019,44.89,44.985,45.135,44.4775
04/01/2019,45.57,45.815,45.875,45.0936
04/02/2019,45.75,45.8125,46.1972,45.38
04/03/2019,47.155,46.25,47.75,46.2
04/04/2019,47.065,47.0,47.4925,46.4325
04/05/2019,47.7375,47.5,47.9125,47.1325
04/08/2019,47.9475,47.43,48.2,47.1875
04/09/2019,47.315,47.61,47.7225,46.89
04/10/2019,48.025,47.3075,48.285,47.2625
04/11/2019,47.885,48.05,48.3675,47.3875
04/12/2019,47.5025,48.275,48.315,47.415
04/15/2019,46.175,47.425,47.475,45.775
04/16/2019,47.0525,46.57,47.2425,46.241
04/17/2019,46.8225,47.405,47.615,46.5975
04/18/2019,46.575,46.89,47.2325,46.295
04/22/2019,47.1175,46.3375,47.275,46.02
04/23/2019,47.6675,47.25,47.9825,47.1525
04/24/2019,47.7925,47.7725,48.2025,47.16
04/25/2019,46.7275,47.3875,47.6125,45.925
04/26/2019,44.5225,45.1775,45.2219,43.325
04/29/2019,44.8325,44.6025,45.1125,43.875
04/30/2019,45.25,44.5075,45.5075,44.315
05/01/2019,45.1175,45.7775,46.2025,45.115
05/02/2019,45.7975,45.215,46.2175,44.7788
05/03/2019,45.7525,45.8825,45.9825,45.1325
05/06/2019,44.9625,43.875,45.085,43.5
05/07/2019,43.2775,44.475,44.475,42.7925
05/08/2019,43.48,43.0,44.2875,42.88
05/09/2019,42.5475,42.785,42.8825,41.35
05/10/2019,42.205,42.2375,42.8975,41.0
05/13/2019,39.6125,40.875,41.1075,39.4525
05/14/2019,40.51,40.0125,40.865,39.6226
05/15/2019,39.895,39.95,40.2625,39.3525
05/16/2019,40.0475,39.84,40.4763,39.4125
05/17/2019,39.1325,39.625,40.9275,38.735
05/20/2019,37.9375,38.1375,38.6925,37.6875
05/21/2019,38.765,38.55,38.925,38.16
05/22/2019,38.05,38.375,38.6375,37.94
05/23/2019,36.83,37.4225,37.4225,36.2278
05/24/2019,36.2875,37.02,37.375,36.22
05/28/2019,35.8325,36.465,36.795,35.8125
05/29/2019,35.085,35.3525,35.705,34.735
05/30/2019,34.7775,35.0775,35.4375,34.3925
05/31/2019,33.865,34.285,34.6123,33.8475
06/03/2019,33.445,33.9775,34.3675,33.15
06/04/2019,35.75,34.09,35.8025,33.8669
06/05/2019,35.32,36.4925,36.5475,34.955
06/06/2019,35.945,35.3625,36.1925,35.3375
06/07/2019,36.375,36.005,36.72,35.8125
06/10/2019,37.1075,36.94,37.7975,36.94
06/11/2019,37.6875,37.71,38.09,37.29
06/12/2019,36.55,37.25,37.3125,36.3975
06/13/2019,37.065,36.7725,37.25,36.595
06/14/2019,36.16,36.1275,36.3725,35.709
06/17/2019,36.2575,36.1425,36.6302,35.9125
06/18/2019,38.22,36.875,38.7775,36.765
06/19/2019,38.28,38.575,38.6892,38.0185
06/20/2019,38.525,39.1925,39.3325,38.3794
06/21/2019,37.94,38.375,38.87,37.875
06/24/2019,38.165,38.155,38.4625,37.68
06/25/2019,37.87,38.215,38.97,37.8425
06/26/2019,39.815,39.1525,40.43,39.0225
06/27/2019,40.8075,40.6775,41.0,40.315
06/28/2019,41.0575,41.25,41.3425,40.5875
07/01/2019,41.5425,43.1425,43.4875,41.165
07/02/2019,40.5575,41.375,41.5873,40.425
07/03/2019,40.6875,40.7925,40.85,40.0854
07/05/2019,40.0575,40.1,40.145,39.42
07/08/2019,39.3025,39.4575,39.6475,39.0
07/09/2019,39.3275,38.8775,39.61,38.75
07/10/2019,40.015,39.765,40.5922,39.625
07/11/2019,41.57,40.75,41.98,40.375
07/12/2019,41.9025,41.85,42.6175,41.85
07/15/2019,41.8175,42.115,42.2764,41.5325
07/16/2019,41.77,41.6675,42.0425,41.2106
07/17/2019,42.4275,41.7875,42.4975,41.4935
07/18/2019,42.545,42.5313,43.1775,41.9625
07/19/2019,42.11,42.93,42.995,42.05
07/22/2019,42.83,42.325,42.96,42.25
07/23/2019,43.915,43.225,43.935,43.0675
07/24/2019,44.665,44.35,44.7225,43.585
07/25/2019,43.345,44.2475,44.375,43.11
07/26/2019,43.7675,43.6175,44.2375,43.6175
07/29/2019,43.705,43.695,43.8674,42.8175
07/30/2019,43.8625,43.2375,43.985,43.0925
07/31/2019,42.18,43.545,43.5538,41.755
08/01/2019,41.23,42.285,43.195,40.7051
08/02/2019,40.2975,40.2975,40.995,39.82
08/05/2019,37.6975,38.45,38.4625,37.225
08/06/2019,38.0875,38.45,38.9075,37.6075
08/07/2019,38.4725,37.475,38.5925,37.3
08/08/2019,39.565,39.0525,39.5775,38.475
08/09/2019,38.545,39.1525,39.1875,38.0375
08/12/2019,37.8625,38.02,38.545,37.6425
08/13/2019,39.0125,37.8475,39.475,37.455
08/14/2019,37.5175,38.1259,38.2375,37.0778
08/15/2019,37.1925,37.7075,37.9075,36.8485
08/16/2019,39.89,39.8375,40.385,39.22
08/19/2019,42.695,41.03,42.855,40.8675
08/20/2019,41.9675,42.64,42.645,41.755
08/21/2019,42.8075,42.6325,43.3625,42.415
08/22/2019,42.87,42.905,43.3325,42.4761
08/23/2019,40.61,42.1,42.6475,40.41
08/26/2019,41.3625,41.4025,41.645,40.9775
08/27/2019,40.45,41.7475,41.775,40.155
08/28/2019,40.305,40.145,40.835,39.75
08/29/2019,41.75,41.225,42.075,41.19
08/30/2019,41.8775,42.215,42.715,41.695
09/03/2019,41.0425,41.145,41.4775,40.813
09/04/2019,42.19,41.6525,42.265,41.6525
09/05/2019,44.935,43.2163,44.9975,43.2
09/06/2019,44.6625,44.7,45.2725,44.28
09/09/2019,45.125,44.975,45.995,44.96
09/10/2019,45.795,44.795,46.0625,44.6975
09/11/2019,46.0825,45.9425,46.5675,45.6501
09/12/2019,46.0675,46.55,47.1,45.9875
09/13/2019,45.485,45.3975,45.77,45.045
09/16/2019,45.0525,44.73,45.4,44.625
09/17/2019,45.2675,45.12,45.3089,44.6525
09/18/2019,44.995,45.1975,45.355,44.125
09/19/2019,44.235,45.055,45.24,44.1275
09/20/2019,43.1725,44.225,44.4625,43.07
09/23/2019,43.71,43.175,44.1675,43.1375
09/24/2019,43.1325,44.025,44.3225,42.775
09/25/2019,44.5575,43.1275,44.755,42.6775
09/26/2019,44.335,44.46,44.5475,43.8225
09/27/2019,42.94,43.915,44.425,42.33
09/30/2019,43.5175,43.2,43.62,42.885
10/01/2019,43.5,43.75,45.25,43.4525
10/02/2019,43.26,43.28,43.4,42.5325
10/03/2019,45.3275,43.305,45.39,43.0
10/04/2019,45.4925,45.35,45.7875,44.695
10/07/2019,46.0825,46.145,47.085,46.0575
10/08/2019,44.3075,45.16,45.16,44.125
10/09/2019,45.1775,45.08,45.675,44.79
10/10/2019,45.7575,45.155,46.27,45.1025
10/11/2019,46.4975,46.6025,47.335,46.4125
10/14/2019,46.6325,46.41,46.8425,46.0962
10/15/2019,49.0925,47.54,49.8225,47.4
10/16/2019,48.5525,48.75,49.805,48.4375
10/17/2019,48.5725,49.0,49.4536,48.025
10/18/2019,47.6225,48.5775,48.905,46.875
10/21/2019,49.0025,48.24,49.1375,48.05
10/22/2019,48.9025,49.575,50.6325,48.825
10/23/2019,48.7725,48.0775,48.915,47.7575
10/24/2019,49.215,49.1875,49.5525,48.845
10/25/2019,51.135,50.025,51.3451,49.9475
10/28/2019,51.6975,51.575,52.225,51.2792
10/29/2019,50.73,51.5575,51.6225,50.535
10/30/2019,50.75,51.0,51.0575,50.065
10/31/2019,50.255,50.54,50.75,49.4525
11/01/2019,50.6475,49.9,50.9725,49.6481
11/04/2019,52.625,51.4625,52.75,51.2301
11/05/2019,52.4025,52.6225,52.885,51.92
11/06/2019,51.9075,52.16,52.4175,51.0275
11/07/2019,52.085,52.7765,52.925,51.635
11/08/2019,51.945,51.915,52.2625,51.5375
11/11/2019,52.045,51.9375,52.2775,51.07
11/12/2019,52.4025,52.43,52.965,52.0775
11/13/2019,52.1425,52.0875,52.365,51.475
11/14/2019,52.4475,52.2325,52.47,51.629
11/15/2019,51.0475,52.425,52.945,50.1594
11/18/2019,53.07,50.9725,53.3375,50.9425
11/19/2019,51.9975,52.758,52.995,51.4125
11/20/2019,52.795,51.7675,53.6375,51.6411
11/21/2019,52.545,52.75,53.31,52.3275
11/22/2019,52.7225,52.7725,53.2408,52.485
11/25/2019,55.3025,54.01,55.3525,53.88
11/26/2019,54.25,55.125,55.1724,54.185
11/27/2019,54.56,54.6675,55.0125,54.295
11/29/2019,54.185,54.25,54.535,53.945
12/02/2019,52.3125,54.115,54.25,52.16
12/03/2019,51.915,50.4675,51.955,50.0925
12/04/2019,52.355,52.755,52.98,52.0675
12/05/2019,52.185,52.575,52.7325,51.8771
12/06/2019,53.0425,52.88,53.3725,52.78
12/09/2019,53.0425,52.8125,53.5925,52.725
12/10/2019,53.495,53.345,54.015,52.815
12/11/2019,54.335,53.6,54.39,53.575
12/12/2019,56.0175,54.045,56.2,53.955
12/13/2019,55.9975,56.0475,57.245,55.455
12/16/2019,56.2875,56.475,57.0161,56.1925
12/17/2019,57.0725,56.475,57.3,56.38
12/18/2019,57.3775,57.4225,57.985,57.3375
12/19/2019,58.865,57.725,59.0,57.675
12/20/2019,59.8425,59.5325,60.0975,59.3387
12/23/2019,59.705,60.13,60.4525,59.5975
12/24/2019,59.655,59.55,59.8275,59.205
12/26/2019,59.7975,59.69,60.08,59.5
12/27/2019,59.2175,59.95,60.085,58.9525
12/30/2019,58.08,58.9975,59.05,57.765
12/31/2019,58.825,57.725,58.9188,57.5325
01/02/2020,59.9775,59.6875,59.9775,59.18
01/03/2020,59.0175,58.775,59.4575,58.525
01/06/2020,59.265,58.08,59.3175,57.8175
01/07/2020,59.9825,59.55,60.4425,59.0975
01/08/2020,60.095,59.94,60.51,59.5373
01/09/2020,60.755,60.9625,61.4824,60.2137
01/10/2020,61.08,61.8325,62.1375,60.9375
01/13/2020,62.995,61.915,63.2471,61.6875
01/14/2020,61.82,62.565,62.82,61.6875
01/15/2020,61.3925,61.9475,62.1723,61.1325
01/16/2020,62.2325,61.93,62.2925,61.6938
01/17/2020,62.32,62.425,62.5,61.8425
01/21/2020,61.985,61.9513,62.3225,61.6426
01/22/2020,62.5125,62.44,63.3975,62.25
01/23/2020,63.215,62.93,63.3,62.0375
01/24/2020,62.62,64.375,64.875,62.075
01/27/2020,60.05,59.56,60.5625,58.0575
01/28/2020,61.9925,60.7125,62.3175,60.1786
01/29/2020,61.385,61.8475,62.21,60.985
01/30/2020,61.4525,60.4025,61.5875,59.85
01/31/2020,59.1075,60.9925,61.1125,58.6875
02/03/2020,60.0825,58.925,60.2778,58.8625
02/04/2020,61.7825,61.5075,61.975,61.005
02/05/2020,62.69,62.9975,63.1,61.8525
02/06/2020,63.5613,63.035,63.5625,62.22
02/07/2020,62.8975,63.16,63.3825,62.643
02/10/2020,65.7425,63.125,65.75,63.075
02/11/2020,66.9725,66.83,68.125,66.2075
02/12/2020,68.135,67.5025,68.2,67.1119
02/13/2020,67.695,67.5525,68.37,67.2775
02/14/2020,72.4475,71.815,73.7425,71.5
02/18/2020,74.1425,71.411,74.3275,71.215
02/19/2020,78.675,75.3725,78.8525,75.3714
02/20/2020,77.175,78.1912,79.08,74.0875
02/21/2020,73.5175,76.0475,76.3,72.665
02/24/2020,68.32,67.5475,70.4681,67.0
02/25/2020,65.5125,69.076,69.6975,64.49
02/26/2020,66.9125,65.515,68.8625,65.5
02/27/2020,63.15,63.725,66.75,62.2225
02/28/2020,67.5175,60.6138,68.115,60.4475
03/02/2020,69.1075,69.225,69.3975,65.25
03/03/2020,66.4725,69.6666,70.2675,65.615
03/04/2020,71.1275,67.55,71.2225,66.8
03/05/2020,68.3225,69.125,70.8,67.875
03/06/2020,66.51,66.52,67.0975,64.5
03/09/2020,61.36,59.975,64.85,59.545
03/10/2020,65.27,64.135,65.27,61.4975
03/11/2020,61.6175,63.8638,64.15,60.6425
03/12/2020,54.0775,56.365,59.0298,53.95
03/13/2020,60.21,57.625,60.255,54.9025
03/16/2020,49.1,53.1025,56.525,48.5
03/17/2020,54.3175,50.2275,55.215,47.75
03/18/2020,50.705,50.0238,52.485,45.1702
03/19/2020,53.2425,50.49,54.1825,48.3475
03/20/2020,51.4375,54.75,57.58,51.2825
03/23/2020,53.1725,51.4275,54.12,49.63
03/24/2020,62.295,57.25,63.165,57.0125
